id,election_id,upper_tier,lower_tier,current_council,year,ward_id,ward_name,candidate,party,vote,female,vacancies,rank,electorate,ballots_cast,turnout,vote_share,source,notes,,,,,,
wir_b_121,1973wir_b_1016,Merseyside,Wirral,Wirral,1973,wir_b_1016,Wallasey: Marlowe Egremont South Liscard,Gershman,LAB,2028,0,3,4,13161,14519,36.77279,41.90371,,,,,,,,
wir_b_122,1973wir_b_1016,Merseyside,Wirral,Wirral,1973,wir_b_1016,Wallasey: Marlowe Egremont South Liscard,McGee V.,LAB,1985,0,3,5,13161,14519,36.77279,41.01522,,,,,,,,
wir_b_123,1973wir_b_1016,Merseyside,Wirral,Wirral,1973,wir_b_1016,Wallasey: Marlowe Egremont South Liscard,Owens,LAB,1955,0,3,6,13161,14519,36.77279,40.39534,,,,,,,,
wir_b_124,1973wir_b_1016,Merseyside,Wirral,Wirral,1973,wir_b_1016,Wallasey: Marlowe Egremont South Liscard,Caldwell,Lib,751,0,3,7,13161,14519,36.77279,15.5176,,,,,,,,
wir_b_125,1973wir_b_1016,Merseyside,Wirral,Wirral,1973,wir_b_1016,Wallasey: Marlowe Egremont South Liscard,Jones,Lib,738,0,3,8,13161,14519,36.77279,15.24898,,,,,,,,
wir_b_126,1973wir_b_1016,Merseyside,Wirral,Wirral,1973,wir_b_1016,Wallasey: Marlowe Egremont South Liscard,Gordon,Lib,732,0,3,9,13161,14519,36.77279,15.12501,,,,,,,,
wir_b_127,1973wir_b_1017,Merseyside,Wirral,Wirral,1973,wir_b_1017,Wallasey: Moreton & Saughall Massie,Edwards J.,LAB,1318,0,3,1,7070,8117,38.26968,48.71258,,,,,,,,
wir_b_128,1973wir_b_1017,Merseyside,Wirral,Wirral,1973,wir_b_1017,Wallasey: Moreton & Saughall Massie,Watkins G.,LAB,1288,0,3,2,7070,8117,38.26968,47.60379,,,,,,,,
wir_b_129,1973wir_b_1017,Merseyside,Wirral,Wirral,1973,wir_b_1017,Wallasey: Moreton & Saughall Massie,Lewis E.,LAB,1230,1,3,3,7070,8117,38.26968,45.46014,,,,,,,,
wir_b_130,1973wir_b_1017,Merseyside,Wirral,Wirral,1973,wir_b_1017,Wallasey: Moreton & Saughall Massie,Walker I.,CON,1132,0,3,4,7070,8117,38.26968,41.83812,,,,,,,,
