id,election_id,upper_tier,lower_tier,current_council,year,ward_id,ward_name,candidate,party,vote,female,vacancies,rank,electorate,ballots_cast,turnout,vote_share,source,note,,,,,,
whis_171,1963whis3016,,Whiston,,1963,whis3016,Rainhill South,J. Welsby,Con,Unop,0,1,,,0,,,Liverpool Daily Post 1963-05-07 p.7,"Con 11, Lab 9",,,,,,
whis_172,1963whis3017,,Whiston,,1963,whis3017,Rainhill West,R. Berry,Lab,Unop,0,1,,,0,,,Liverpool Daily Post 1963-05-07 p.7,"Con 11, Lab 9",,,,,,
whis_173,1963whis3019,,Whiston,,1963,whis3019,Whiston Central,W. M. Clarke,Lab,413,0,1,1,,573,,72.07679,Liverpool Daily Post 1963-05-07 p.7,"Con 11, Lab 9",,,,,,
whis_174,1963whis3019,,Whiston,,1963,whis3019,Whiston Central,A. Valentine,Con,160,0,1,2,,573,,27.92321,Liverpool Daily Post 1963-05-07 p.7,"Con 11, Lab 9",,,,,,
whis_175,1963whis3020,,Whiston,,1963,whis3020,Whiston North,W. Myers,Lab,280,0,1,1,,537,,52.14153,Liverpool Daily Post 1963-05-07 p.7,"Con 11, Lab 9",,,,,,
whis_176,1963whis3020,,Whiston,,1963,whis3020,Whiston North,B. Jeffrey,Con,257,0,1,2,,537,,47.85847,Liverpool Daily Post 1963-05-07 p.7,"Con 11, Lab 9",,,,,,
whis_177,1963whis3021,,Whiston,,1963,whis3021,Whiston South,J. Williams,Lab,611,0,1,1,,798,,76.56641,Liverpool Daily Post 1963-05-07 p.7,"Con 11, Lab 9",,,,,,
whis_178,1963whis3021,,Whiston,,1963,whis3021,Whiston South,J. E. Crossman,Con,187,0,1,2,,798,,23.43358,Liverpool Daily Post 1963-05-07 p.7,"Con 11, Lab 9",,,,,,
whis_179,1964whis3003,,Whiston,,1964,whis3003,Cronton,H. Coupe,Ind,220,0,1,1,,348,,63.21839,,,,,,,,
whis_180,1964whis3003,,Whiston,,1964,whis3003,Cronton,V. Handman,Lab,128,0,1,2,,348,,36.78161,,,,,,,,
whis_181,1964whis3018,,Whiston,,1964,whis3018,Tarbock,T. H. Critchley,Ind,Unop,0,1,,,0,,,,,,,,,,
whis_182,1965whis3001,,Whiston,,1965,whis3001,Bold North,W. H. Lewis,Lab,Unop,0,1,,,0,,,"Liverpool Daily Post 1965-05-11, p.9.","Lab: 12, Con+Ind: 10 - first time Labour have control.",,,,,,
